Index Latitude Longitude isClusterizable ClusterID
138415 -418261.2890147692 -4296183.498405794 true 1
139714 -418283.04300954053 -4296214.890502198 true 1
139164 -410467.4223595948 -4491046.93120553 true 2
138523 -410506.1302489242 -4491036.355853904 true 2
138553 -428639.83955423377 -4283204.870293696 true 3
138702 -428654.2322104507 -4283232.03224945 true 3
138587 -411260.881334934 -4491813.031941168 true 4
138588 -411273.82124995685 -4491839.303340996 true 4
139893 -419477.84680681955 -4293528.528550374 true 5
138603 -419505.625333091 -4293559.141410342 true 5
138661 -410208.36620159395 -4492424.584117091 true 6
138768 -410211.7498789329 -4492417.274137194 true 6
138832 -421051.418032529 -4287579.1696844185 true 7
139438 -421016.6441192795 -4287587.741285209 true 7
138853 -416253.24884937605 -4289316.8669357 true 8
138671 -416259.9422480473 -4289296.050190923 true 8
138872 -420479.88686898653 -4287204.6909173895 true 9
141368 -420433.70042605896 -4287209.700294475 true 9
140479 -413713.91791377997 -4294789.778381062 true 10
142117 -413706.66691996803 -4294803.804636902 true 10
140479 -413713.91791377997 -4294789.778381062 true 11
142117 -413706.66691996803 -4294803.804636902 true 11
140860 -413723.73464471585 -4294784.6576844845 true 11
139273 -419718.70585913886 -4291502.959095899 true 12
140905 -419741.0179831587 -4291545.483141382 true 12
140118 -420166.7342923279 -4287114.633449337 true 13
141847 -420137.28216046194 -4287080.681004646 true 13
139926 -423068.6685490202 -4283618.162456515 true 14
142275 -423144.90430239274 -4283648.589783998 true 14
